name,id,src
4Head,354,https://static-cdn.jtvnw.net/emoticons/v1/354/1.0
ANELE,3792,https://static-cdn.jtvnw.net/emoticons/v1/3792/1.0
ArgieB8,51838,https://static-cdn.jtvnw.net/emoticons/v1/51838/1.0
ArsonNoSexy,50,https://static-cdn.jtvnw.net/emoticons/v1/50/1.0
AsexualPride,1130348,https://static-cdn.jtvnw.net/emoticons/v1/1130348/1.0
AsianGlow,74,https://static-cdn.jtvnw.net/emoticons/v1/74/1.0
BCWarrior,30,https://static-cdn.jtvnw.net/emoticons/v1/30/1.0
BOP,301428702,https://static-cdn.jtvnw.net/emoticons/v1/301428702/1.0
BabyRage,22639,https://static-cdn.jtvnw.net/emoticons/v1/22639/1.0
BatChest,115234,https://static-cdn.jtvnw.net/emoticons/v1/115234/1.0
BegWan,160394,https://static-cdn.jtvnw.net/emoticons/v1/160394/1.0
BibleThump,86,https://static-cdn.jtvnw.net/emoticons/v1/86/1.0
BigBrother,1904,https://static-cdn.jtvnw.net/emoticons/v1/1904/1.0
BigPhish,160395,https://static-cdn.jtvnw.net/emoticons/v1/160395/1.0
BisexualPride,1064987,https://static-cdn.jtvnw.net/emoticons/v1/1064987/1.0
BlackLivesMatter,302537250,https://static-cdn.jtvnw.net/emoticons/v1/302537250/1.0
BlargNaut,114738,https://static-cdn.jtvnw.net/emoticons/v1/114738/1.0
BloodTrail,69,https://static-cdn.jtvnw.net/emoticons/v1/69/1.0
BrainSlug,115233,https://static-cdn.jtvnw.net/emoticons/v1/115233/1.0
BrokeBack,4057,https://static-cdn.jtvnw.net/emoticons/v1/4057/1.0
BuddhaBar,27602,https://static-cdn.jtvnw.net/emoticons/v1/27602/1.0
CarlSmile,166266,https://static-cdn.jtvnw.net/emoticons/v1/166266/1.0
ChefFrank,90129,https://static-cdn.jtvnw.net/emoticons/v1/90129/1.0
CoolCat,58127,https://static-cdn.jtvnw.net/emoticons/v1/58127/1.0
CoolStoryBob,123171,https://static-cdn.jtvnw.net/emoticons/v1/123171/1.0
CorgiDerp,49106,https://static-cdn.jtvnw.net/emoticons/v1/49106/1.0
CrreamAwk,191313,https://static-cdn.jtvnw.net/emoticons/v1/191313/1.0
CurseLit,116625,https://static-cdn.jtvnw.net/emoticons/v1/116625/1.0
DAESuppy,973,https://static-cdn.jtvnw.net/emoticons/v1/973/1.0
DBstyle,73,https://static-cdn.jtvnw.net/emoticons/v1/73/1.0
DansGame,33,https://static-cdn.jtvnw.net/emoticons/v1/33/1.0
DarkMode,461298,https://static-cdn.jtvnw.net/emoticons/v1/461298/1.0
DatSheffy,111700,https://static-cdn.jtvnw.net/emoticons/v1/111700/1.0
DendiFace,58135,https://static-cdn.jtvnw.net/emoticons/v1/58135/1.0
DogFace,114835,https://static-cdn.jtvnw.net/emoticons/v1/114835/1.0
DoritosChip,102242,https://static-cdn.jtvnw.net/emoticons/v1/102242/1.0
DrinkPurple,110785,https://static-cdn.jtvnw.net/emoticons/v1/110785/1.0
DxCat,110734,https://static-cdn.jtvnw.net/emoticons/v1/110734/1.0
EarthDay,959018,https://static-cdn.jtvnw.net/emoticons/v1/959018/1.0
EleGiggle,4339,https://static-cdn.jtvnw.net/emoticons/v1/4339/1.0
EntropyWins,376765,https://static-cdn.jtvnw.net/emoticons/v1/376765/1.0
ExtraLife,302426269,https://static-cdn.jtvnw.net/emoticons/v1/302426269/1.0
FBBlock,1441276,https://static-cdn.jtvnw.net/emoticons/v1/1441276/1.0
FBCatch,1441281,https://static-cdn.jtvnw.net/emoticons/v1/1441281/1.0
FBChallenge,1441285,https://static-cdn.jtvnw.net/emoticons/v1/1441285/1.0
FBPass,1441271,https://static-cdn.jtvnw.net/emoticons/v1/1441271/1.0
FBPenalty,1441289,https://static-cdn.jtvnw.net/emoticons/v1/1441289/1.0
FBRun,1441261,https://static-cdn.jtvnw.net/emoticons/v1/1441261/1.0
FBSpiral,1441273,https://static-cdn.jtvnw.net/emoticons/v1/1441273/1.0
FBtouchdown,626795,https://static-cdn.jtvnw.net/emoticons/v1/626795/1.0
FUNgineer,244,https://static-cdn.jtvnw.net/emoticons/v1/244/1.0
FailFish,360,https://static-cdn.jtvnw.net/emoticons/v1/360/1.0
FootBall,302628600,https://static-cdn.jtvnw.net/emoticons/v1/302628600/1.0
FootGoal,302628617,https://static-cdn.jtvnw.net/emoticons/v1/302628617/1.0
FootYellow,302628613,https://static-cdn.jtvnw.net/emoticons/v1/302628613/1.0
FrankerZ,65,https://static-cdn.jtvnw.net/emoticons/v1/65/1.0
FreakinStinkin,117701,https://static-cdn.jtvnw.net/emoticons/v1/117701/1.0
FutureMan,98562,https://static-cdn.jtvnw.net/emoticons/v1/98562/1.0
GayPride,1064991,https://static-cdn.jtvnw.net/emoticons/v1/1064991/1.0
GenderFluidPride,1297281,https://static-cdn.jtvnw.net/emoticons/v1/1297281/1.0
GingerPower,32,https://static-cdn.jtvnw.net/emoticons/v1/32/1.0
GivePLZ,112291,https://static-cdn.jtvnw.net/emoticons/v1/112291/1.0
GlitchCat,304486301,https://static-cdn.jtvnw.net/emoticons/v1/304486301/1.0
GlitchLit,304489128,https://static-cdn.jtvnw.net/emoticons/v1/304489128/1.0
GlitchNRG,304489309,https://static-cdn.jtvnw.net/emoticons/v1/304489309/1.0
GrammarKing,3632,https://static-cdn.jtvnw.net/emoticons/v1/3632/1.0
GreenTeam,530890,https://static-cdn.jtvnw.net/emoticons/v1/530890/1.0
GunRun,1584743,https://static-cdn.jtvnw.net/emoticons/v1/1584743/1.0
HSCheers,444572,https://static-cdn.jtvnw.net/emoticons/v1/444572/1.0
HSWP,446979,https://static-cdn.jtvnw.net/emoticons/v1/446979/1.0
HassaanChop,20225,https://static-cdn.jtvnw.net/emoticons/v1/20225/1.0
HeyGuys,30259,https://static-cdn.jtvnw.net/emoticons/v1/30259/1.0
HolidayCookie,1713813,https://static-cdn.jtvnw.net/emoticons/v1/1713813/1.0
HolidayLog,1713816,https://static-cdn.jtvnw.net/emoticons/v1/1713816/1.0
HolidayOrnament,1713818,https://static-cdn.jtvnw.net/emoticons/v1/1713818/1.0
HolidayPresent,1713819,https://static-cdn.jtvnw.net/emoticons/v1/1713819/1.0
HolidaySanta,1713822,https://static-cdn.jtvnw.net/emoticons/v1/1713822/1.0
HolidayTree,1713825,https://static-cdn.jtvnw.net/emoticons/v1/1713825/1.0
HotPokket,357,https://static-cdn.jtvnw.net/emoticons/v1/357/1.0
IntersexPride,1221184,https://static-cdn.jtvnw.net/emoticons/v1/1221184/1.0
InuyoFace,160396,https://static-cdn.jtvnw.net/emoticons/v1/160396/1.0
ItsBoshyTime,133468,https://static-cdn.jtvnw.net/emoticons/v1/133468/1.0
JKanStyle,15,https://static-cdn.jtvnw.net/emoticons/v1/15/1.0
Jebaited,114836,https://static-cdn.jtvnw.net/emoticons/v1/114836/1.0
JonCarnage,26,https://static-cdn.jtvnw.net/emoticons/v1/26/1.0
KAPOW,133537,https://static-cdn.jtvnw.net/emoticons/v1/133537/1.0
