name,id,src
4Head,354,https://static-cdn.jtvnw.net/emoticons/v1/354/3.0
8-),555555579,https://static-cdn.jtvnw.net/emoticons/v1/555555579/3.0
:(,2,https://static-cdn.jtvnw.net/emoticons/v1/2/3.0
:(,555555558,https://static-cdn.jtvnw.net/emoticons/v1/555555558/3.0
:),1,https://static-cdn.jtvnw.net/emoticons/v1/1/3.0
:-(,555555559,https://static-cdn.jtvnw.net/emoticons/v1/555555559/3.0
:-),555555557,https://static-cdn.jtvnw.net/emoticons/v1/555555557/3.0
:-/,555555586,https://static-cdn.jtvnw.net/emoticons/v1/555555586/3.0
:-D,555555561,https://static-cdn.jtvnw.net/emoticons/v1/555555561/3.0
:-O,555555581,https://static-cdn.jtvnw.net/emoticons/v1/555555581/3.0
:-P,555555592,https://static-cdn.jtvnw.net/emoticons/v1/555555592/3.0
:-Z,555555568,https://static-cdn.jtvnw.net/emoticons/v1/555555568/3.0
:-\,555555588,https://static-cdn.jtvnw.net/emoticons/v1/555555588/3.0
:-o,555555583,https://static-cdn.jtvnw.net/emoticons/v1/555555583/3.0
:-p,555555594,https://static-cdn.jtvnw.net/emoticons/v1/555555594/3.0
:-z,555555566,https://static-cdn.jtvnw.net/emoticons/v1/555555566/3.0
:-|,555555564,https://static-cdn.jtvnw.net/emoticons/v1/555555564/3.0
:/,555555585,https://static-cdn.jtvnw.net/emoticons/v1/555555585/3.0
:/,10,https://static-cdn.jtvnw.net/emoticons/v1/10/3.0
:D,555555560,https://static-cdn.jtvnw.net/emoticons/v1/555555560/3.0
:D,3,https://static-cdn.jtvnw.net/emoticons/v1/3/3.0
:O,555555580,https://static-cdn.jtvnw.net/emoticons/v1/555555580/3.0
:O,8,https://static-cdn.jtvnw.net/emoticons/v1/8/3.0
:P,12,https://static-cdn.jtvnw.net/emoticons/v1/12/3.0
:P,555555591,https://static-cdn.jtvnw.net/emoticons/v1/555555591/3.0
:Z,555555567,https://static-cdn.jtvnw.net/emoticons/v1/555555567/3.0
:\,555555587,https://static-cdn.jtvnw.net/emoticons/v1/555555587/3.0
:o,555555582,https://static-cdn.jtvnw.net/emoticons/v1/555555582/3.0
:p,555555593,https://static-cdn.jtvnw.net/emoticons/v1/555555593/3.0
:z,555555565,https://static-cdn.jtvnw.net/emoticons/v1/555555565/3.0
:|,5,https://static-cdn.jtvnw.net/emoticons/v1/5/3.0
:|,555555563,https://static-cdn.jtvnw.net/emoticons/v1/555555563/3.0
;),555555589,https://static-cdn.jtvnw.net/emoticons/v1/555555589/3.0
;),11,https://static-cdn.jtvnw.net/emoticons/v1/11/3.0
;-),555555590,https://static-cdn.jtvnw.net/emoticons/v1/555555590/3.0
;-P,555555596,https://static-cdn.jtvnw.net/emoticons/v1/555555596/3.0
;-p,555555598,https://static-cdn.jtvnw.net/emoticons/v1/555555598/3.0
;P,555555595,https://static-cdn.jtvnw.net/emoticons/v1/555555595/3.0
;P,13,https://static-cdn.jtvnw.net/emoticons/v1/13/3.0
;p,555555597,https://static-cdn.jtvnw.net/emoticons/v1/555555597/3.0
<3,555555584,https://static-cdn.jtvnw.net/emoticons/v1/555555584/3.0
<3,9,https://static-cdn.jtvnw.net/emoticons/v1/9/3.0
>(,555555562,https://static-cdn.jtvnw.net/emoticons/v1/555555562/3.0
>(,4,https://static-cdn.jtvnw.net/emoticons/v1/4/3.0
ANELE,3792,https://static-cdn.jtvnw.net/emoticons/v1/3792/3.0
ArgieB8,51838,https://static-cdn.jtvnw.net/emoticons/v1/51838/3.0
ArsonNoSexy,50,https://static-cdn.jtvnw.net/emoticons/v1/50/3.0
AsexualPride,307827267,https://static-cdn.jtvnw.net/emoticons/v1/307827267/3.0
AsianGlow,74,https://static-cdn.jtvnw.net/emoticons/v1/74/3.0
B),7,https://static-cdn.jtvnw.net/emoticons/v1/7/3.0
B),555555577,https://static-cdn.jtvnw.net/emoticons/v1/555555577/3.0
B-),555555578,https://static-cdn.jtvnw.net/emoticons/v1/555555578/3.0
BCWarrior,30,https://static-cdn.jtvnw.net/emoticons/v1/30/3.0
BOP,301428702,https://static-cdn.jtvnw.net/emoticons/v1/301428702/3.0
BabyRage,22639,https://static-cdn.jtvnw.net/emoticons/v1/22639/3.0
BatChest,115234,https://static-cdn.jtvnw.net/emoticons/v1/115234/3.0
BegWan,160394,https://static-cdn.jtvnw.net/emoticons/v1/160394/3.0
BibleThump,86,https://static-cdn.jtvnw.net/emoticons/v1/86/3.0
BigBrother,1904,https://static-cdn.jtvnw.net/emoticons/v1/1904/3.0
BigPhish,160395,https://static-cdn.jtvnw.net/emoticons/v1/160395/3.0
BisexualPride,307827313,https://static-cdn.jtvnw.net/emoticons/v1/307827313/3.0
BlackLivesMatter,302537250,https://static-cdn.jtvnw.net/emoticons/v1/302537250/3.0
BlargNaut,114738,https://static-cdn.jtvnw.net/emoticons/v1/114738/3.0
BloodTrail,69,https://static-cdn.jtvnw.net/emoticons/v1/69/3.0
BrainSlug,115233,https://static-cdn.jtvnw.net/emoticons/v1/115233/3.0
BrokeBack,4057,https://static-cdn.jtvnw.net/emoticons/v1/4057/3.0
BuddhaBar,27602,https://static-cdn.jtvnw.net/emoticons/v1/27602/3.0
CarlSmile,166266,https://static-cdn.jtvnw.net/emoticons/v1/166266/3.0
ChefFrank,90129,https://static-cdn.jtvnw.net/emoticons/v1/90129/3.0
CoolCat,58127,https://static-cdn.jtvnw.net/emoticons/v1/58127/3.0
CoolStoryBob,123171,https://static-cdn.jtvnw.net/emoticons/v1/123171/3.0
CorgiDerp,49106,https://static-cdn.jtvnw.net/emoticons/v1/49106/3.0
CrreamAwk,191313,https://static-cdn.jtvnw.net/emoticons/v1/191313/3.0
CurseLit,116625,https://static-cdn.jtvnw.net/emoticons/v1/116625/3.0
DAESuppy,973,https://static-cdn.jtvnw.net/emoticons/v1/973/3.0
DBstyle,73,https://static-cdn.jtvnw.net/emoticons/v1/73/3.0
DansGame,33,https://static-cdn.jtvnw.net/emoticons/v1/33/3.0
DarkMode,461298,https://static-cdn.jtvnw.net/emoticons/v1/461298/3.0
DatSheffy,111700,https://static-cdn.jtvnw.net/emoticons/v1/111700/3.0
DendiFace,58135,https://static-cdn.jtvnw.net/emoticons/v1/58135/3.0
DogFace,114835,https://static-cdn.jtvnw.net/emoticons/v1/114835/3.0
DoritosChip,102242,https://static-cdn.jtvnw.net/emoticons/v1/102242/3.0
DrinkPurple,110785,https://static-cdn.jtvnw.net/emoticons/v1/110785/3.0
DxCat,110734,https://static-cdn.jtvnw.net/emoticons/v1/110734/3.0
EarthDay,959018,https://static-cdn.jtvnw.net/emoticons/v1/959018/3.0
EleGiggle,4339,https://static-cdn.jtvnw.net/emoticons/v1/4339/3.0
EntropyWins,376765,https://static-cdn.jtvnw.net/emoticons/v1/376765/3.0
ExtraLife,302426269,https://static-cdn.jtvnw.net/emoticons/v1/302426269/3.0
FBBlock,1441276,https://static-cdn.jtvnw.net/emoticons/v1/1441276/3.0
FBCatch,1441281,https://static-cdn.jtvnw.net/emoticons/v1/1441281/3.0
FBChallenge,1441285,https://static-cdn.jtvnw.net/emoticons/v1/1441285/3.0
FBPass,1441271,https://static-cdn.jtvnw.net/emoticons/v1/1441271/3.0
FBPenalty,1441289,https://static-cdn.jtvnw.net/emoticons/v1/1441289/3.0
FBRun,1441261,https://static-cdn.jtvnw.net/emoticons/v1/1441261/3.0
FBSpiral,1441273,https://static-cdn.jtvnw.net/emoticons/v1/1441273/3.0
FBtouchdown,626795,https://static-cdn.jtvnw.net/emoticons/v1/626795/3.0
FUNgineer,244,https://static-cdn.jtvnw.net/emoticons/v1/244/3.0
FailFish,360,https://static-cdn.jtvnw.net/emoticons/v1/360/3.0
FootBall,302628600,https://static-cdn.jtvnw.net/emoticons/v1/302628600/3.0
FootGoal,302628617,https://static-cdn.jtvnw.net/emoticons/v1/302628617/3.0
FootYellow,302628613,https://static-cdn.jtvnw.net/emoticons/v1/302628613/3.0
FrankerZ,65,https://static-cdn.jtvnw.net/emoticons/v1/65/3.0
FreakinStinkin,117701,https://static-cdn.jtvnw.net/emoticons/v1/117701/3.0
FutureMan,98562,https://static-cdn.jtvnw.net/emoticons/v1/98562/3.0
GayPride,307827321,https://static-cdn.jtvnw.net/emoticons/v1/307827321/3.0
GenderFluidPride,307827326,https://static-cdn.jtvnw.net/emoticons/v1/307827326/3.0
GingerPower,32,https://static-cdn.jtvnw.net/emoticons/v1/32/3.0
GivePLZ,112291,https://static-cdn.jtvnw.net/emoticons/v1/112291/3.0
GlitchCat,304486301,https://static-cdn.jtvnw.net/emoticons/v1/304486301/3.0
GlitchLit,304489128,https://static-cdn.jtvnw.net/emoticons/v1/304489128/3.0
GlitchNRG,304489309,https://static-cdn.jtvnw.net/emoticons/v1/304489309/3.0
GrammarKing,3632,https://static-cdn.jtvnw.net/emoticons/v1/3632/3.0
GreenTeam,530890,https://static-cdn.jtvnw.net/emoticons/v1/530890/3.0
GunRun,1584743,https://static-cdn.jtvnw.net/emoticons/v1/1584743/3.0
HSCheers,444572,https://static-cdn.jtvnw.net/emoticons/v1/444572/3.0
HSWP,446979,https://static-cdn.jtvnw.net/emoticons/v1/446979/3.0
HassaanChop,20225,https://static-cdn.jtvnw.net/emoticons/v1/20225/3.0
HeyGuys,30259,https://static-cdn.jtvnw.net/emoticons/v1/30259/3.0
HolidayCookie,1713813,https://static-cdn.jtvnw.net/emoticons/v1/1713813/3.0
HolidayLog,1713816,https://static-cdn.jtvnw.net/emoticons/v1/1713816/3.0
HolidayOrnament,1713818,https://static-cdn.jtvnw.net/emoticons/v1/1713818/3.0
HolidayPresent,1713819,https://static-cdn.jtvnw.net/emoticons/v1/1713819/3.0
HolidaySanta,1713822,https://static-cdn.jtvnw.net/emoticons/v1/1713822/3.0
HolidayTree,1713825,https://static-cdn.jtvnw.net/emoticons/v1/1713825/3.0
HotPokket,357,https://static-cdn.jtvnw.net/emoticons/v1/357/3.0
HungryPaimon,emotesv2_535e40afa0b34a9481997627b1b47d96,https://static-cdn.jtvnw.net/emoticons/v1/emotesv2_535e40afa0b34a9481997627b1b47d96/3.0
IntersexPride,307827332,https://static-cdn.jtvnw.net/emoticons/v1/307827332/3.0
InuyoFace,160396,https://static-cdn.jtvnw.net/emoticons/v1/160396/3.0
ItsBoshyTime,133468,https://static-cdn.jtvnw.net/emoticons/v1/133468/3.0
JKanStyle,15,https://static-cdn.jtvnw.net/emoticons/v1/15/3.0
Jebaited,114836,https://static-cdn.jtvnw.net/emoticons/v1/114836/3.0
JonCarnage,26,https://static-cdn.jtvnw.net/emoticons/v1/26/3.0
KAPOW,133537,https://static-cdn.jtvnw.net/emoticons/v1/133537/3.0
Kappa,25,https://static-cdn.jtvnw.net/emoticons/v1/25/3.0
Kappa,80393,https://static-cdn.jtvnw.net/emoticons/v1/80393/3.0
KappaClaus,74510,https://static-cdn.jtvnw.net/emoticons/v1/74510/3.0
KappaPride,55338,https://static-cdn.jtvnw.net/emoticons/v1/55338/3.0
KappaRoss,70433,https://static-cdn.jtvnw.net/emoticons/v1/70433/3.0
KappaWealth,81997,https://static-cdn.jtvnw.net/emoticons/v1/81997/3.0
Kappu,160397,https://static-cdn.jtvnw.net/emoticons/v1/160397/3.0
Keepo,1902,https://static-cdn.jtvnw.net/emoticons/v1/1902/3.0
KevinTurtle,40,https://static-cdn.jtvnw.net/emoticons/v1/40/3.0
Kippa,1901,https://static-cdn.jtvnw.net/emoticons/v1/1901/3.0
KomodoHype,81273,https://static-cdn.jtvnw.net/emoticons/v1/81273/3.0
KonCha,160400,https://static-cdn.jtvnw.net/emoticons/v1/160400/3.0
Kreygasm,41,https://static-cdn.jtvnw.net/emoticons/v1/41/3.0
LUL,425618,https://static-cdn.jtvnw.net/emoticons/v1/425618/3.0
LesbianPride,307827340,https://static-cdn.jtvnw.net/emoticons/v1/307827340/3.0
MVGame,142140,https://static-cdn.jtvnw.net/emoticons/v1/142140/3.0
Mau5,30134,https://static-cdn.jtvnw.net/emoticons/v1/30134/3.0
MaxLOL,1290325,https://static-cdn.jtvnw.net/emoticons/v1/1290325/3.0
MercyWing1,1003187,https://static-cdn.jtvnw.net/emoticons/v1/1003187/3.0
MercyWing2,1003189,https://static-cdn.jtvnw.net/emoticons/v1/1003189/3.0
MikeHogu,81636,https://static-cdn.jtvnw.net/emoticons/v1/81636/3.0
MingLee,68856,https://static-cdn.jtvnw.net/emoticons/v1/68856/3.0
MorphinTime,156787,https://static-cdn.jtvnw.net/emoticons/v1/156787/3.0
MrDestructoid,28,https://static-cdn.jtvnw.net/emoticons/v1/28/3.0
NewRecord,307763444,https://static-cdn.jtvnw.net/emoticons/v1/307763444/3.0
NinjaGrumpy,138325,https://static-cdn.jtvnw.net/emoticons/v1/138325/3.0
NomNom,90075,https://static-cdn.jtvnw.net/emoticons/v1/90075/3.0
NonbinaryPride,307827356,https://static-cdn.jtvnw.net/emoticons/v1/307827356/3.0
NotATK,34875,https://static-cdn.jtvnw.net/emoticons/v1/34875/3.0
NotLikeThis,58765,https://static-cdn.jtvnw.net/emoticons/v1/58765/3.0
O.O,555555572,https://static-cdn.jtvnw.net/emoticons/v1/555555572/3.0
O.o,555555570,https://static-cdn.jtvnw.net/emoticons/v1/555555570/3.0
OSFrog,81248,https://static-cdn.jtvnw.net/emoticons/v1/81248/3.0
O_O,555555571,https://static-cdn.jtvnw.net/emoticons/v1/555555571/3.0
O_o,555555569,https://static-cdn.jtvnw.net/emoticons/v1/555555569/3.0
O_o,6,https://static-cdn.jtvnw.net/emoticons/v1/6/3.0
OhMyDog,81103,https://static-cdn.jtvnw.net/emoticons/v1/81103/3.0
OneHand,66,https://static-cdn.jtvnw.net/emoticons/v1/66/3.0
OpieOP,100590,https://static-cdn.jtvnw.net/emoticons/v1/100590/3.0
OptimizePrime,16,https://static-cdn.jtvnw.net/emoticons/v1/16/3.0
PJSalt,36,https://static-cdn.jtvnw.net/emoticons/v1/36/3.0
PJSugar,102556,https://static-cdn.jtvnw.net/emoticons/v1/102556/3.0
PMSTwin,92,https://static-cdn.jtvnw.net/emoticons/v1/92/3.0
PRChase,28328,https://static-cdn.jtvnw.net/emoticons/v1/28328/3.0
PanicVis,3668,https://static-cdn.jtvnw.net/emoticons/v1/3668/3.0
PansexualPride,307827370,https://static-cdn.jtvnw.net/emoticons/v1/307827370/3.0
PartyHat,965738,https://static-cdn.jtvnw.net/emoticons/v1/965738/3.0
PartyTime,135393,https://static-cdn.jtvnw.net/emoticons/v1/135393/3.0
PeoplesChamp,3412,https://static-cdn.jtvnw.net/emoticons/v1/3412/3.0
PermaSmug,27509,https://static-cdn.jtvnw.net/emoticons/v1/27509/3.0
PicoMause,111300,https://static-cdn.jtvnw.net/emoticons/v1/111300/3.0
PinkMercy,1003190,https://static-cdn.jtvnw.net/emoticons/v1/1003190/3.0
